,base,date,rates,currency
AED,EUR,2023-01-17,3.965256,AED
AFN,EUR,2023-01-17,96.619651,AFN
ALL,EUR,2023-01-17,116.42825,ALL
AMD,EUR,2023-01-17,428.404337,AMD
ANG,EUR,2023-01-17,1.947312,ANG
AOA,EUR,2023-01-17,543.614615,AOA
ARS,EUR,2023-01-17,197.03813,ARS
AUD,EUR,2023-01-17,1.545944,AUD
AWG,EUR,2023-01-17,1.945871,AWG
AZN,EUR,2023-01-17,1.773134,AZN
BAM,EUR,2023-01-17,1.950933,BAM
BBD,EUR,2023-01-17,2.181614,BBD
BDT,EUR,2023-01-17,112.208671,BDT
BGN,EUR,2023-01-17,1.95647,BGN
BHD,EUR,2023-01-17,0.40694,BHD
BIF,EUR,2023-01-17,2224.932568,BIF
BMD,EUR,2023-01-17,1.07954,BMD
BND,EUR,2023-01-17,1.4290129999999999,BND
BOB,EUR,2023-01-17,7.466125,BOB
BRL,EUR,2023-01-17,5.516558,BRL
BSD,EUR,2023-01-17,1.080483,BSD
BTC,EUR,2023-01-17,5.0598253000000005e-05,BTC
BTN,EUR,2023-01-17,88.341069,BTN
BWP,EUR,2023-01-17,13.764414,BWP
BYN,EUR,2023-01-17,2.727254,BYN
BYR,EUR,2023-01-17,21158.989973,BYR
BZD,EUR,2023-01-17,2.177923,BZD
CAD,EUR,2023-01-17,1.4459629999999999,CAD
CDF,EUR,2023-01-17,2191.466927,CDF
CHF,EUR,2023-01-17,0.9958009999999999,CHF
CLF,EUR,2023-01-17,0.031909,CLF
CLP,EUR,2023-01-17,880.474978,CLP
CNY,EUR,2023-01-17,7.3127,CNY
COP,EUR,2023-01-17,5098.247839,COP
CRC,EUR,2023-01-17,616.878749,CRC
CUC,EUR,2023-01-17,1.07954,CUC
CUP,EUR,2023-01-17,28.607818,CUP
CVE,EUR,2023-01-17,111.030535,CVE
CZK,EUR,2023-01-17,23.940428,CZK
DJF,EUR,2023-01-17,191.855906,DJF
DKK,EUR,2023-01-17,7.437926,DKK
DOP,EUR,2023-01-17,60.889543,DOP
DZD,EUR,2023-01-17,146.949045,DZD
EGP,EUR,2023-01-17,31.929454,EGP
ERN,EUR,2023-01-17,16.193105,ERN
ETB,EUR,2023-01-17,57.916875,ETB
EUR,EUR,2023-01-17,1.0,EUR
FJD,EUR,2023-01-17,2.340821,FJD
FKP,EUR,2023-01-17,0.884299,FKP
GBP,EUR,2023-01-17,0.8803219999999999,GBP
GEL,EUR,2023-01-17,2.88773,GEL
GGP,EUR,2023-01-17,0.884299,GGP
GHS,EUR,2023-01-17,13.224322,GHS
GIP,EUR,2023-01-17,0.884299,GIP
GMD,EUR,2023-01-17,67.255523,GMD
GNF,EUR,2023-01-17,9472.965923,GNF
GTQ,EUR,2023-01-17,8.479117,GTQ
GYD,EUR,2023-01-17,226.052598,GYD
HKD,EUR,2023-01-17,8.439361,HKD
HNL,EUR,2023-01-17,26.594481,HNL
HRK,EUR,2023-01-17,7.602342,HRK
HTG,EUR,2023-01-17,159.911615,HTG
HUF,EUR,2023-01-17,396.439745,HUF
IDR,EUR,2023-01-17,16367.936124,IDR
ILS,EUR,2023-01-17,3.674318,ILS
IMP,EUR,2023-01-17,0.884299,IMP
INR,EUR,2023-01-17,88.067712,INR
IQD,EUR,2023-01-17,1577.208385,IQD
IRR,EUR,2023-01-17,45178.762393,IRR
ISK,EUR,2023-01-17,154.633539,ISK
JEP,EUR,2023-01-17,0.884299,JEP
JMD,EUR,2023-01-17,164.936003,JMD
JOD,EUR,2023-01-17,0.765716,JOD
JPY,EUR,2023-01-17,138.64533,JPY
KES,EUR,2023-01-17,133.917097,KES
KGS,EUR,2023-01-17,92.49504,KGS
KHR,EUR,2023-01-17,4447.705716,KHR
KMF,EUR,2023-01-17,492.77655,KMF
KPW,EUR,2023-01-17,971.535415,KPW
KRW,EUR,2023-01-17,1335.165056,KRW
KWD,EUR,2023-01-17,0.329594,KWD
KYD,EUR,2023-01-17,0.9004439999999999,KYD
KZT,EUR,2023-01-17,501.378296,KZT
LAK,EUR,2023-01-17,18190.254229,LAK
LBP,EUR,2023-01-17,1643.060319,LBP
LKR,EUR,2023-01-17,397.079452,LKR
LRD,EUR,2023-01-17,167.706747,LRD
LSL,EUR,2023-01-17,18.43861,LSL
LTL,EUR,2023-01-17,3.187601,LTL
LVL,EUR,2023-01-17,0.6530039999999999,LVL
LYD,EUR,2023-01-17,5.144047,LYD
MAD,EUR,2023-01-17,10.983785,MAD
MDL,EUR,2023-01-17,20.528981,MDL
MGA,EUR,2023-01-17,4706.795431,MGA
MKD,EUR,2023-01-17,61.457891,MKD
MMK,EUR,2023-01-17,2269.024854,MMK
MNT,EUR,2023-01-17,3728.634219,MNT
MOP,EUR,2023-01-17,8.704791,MOP
MRO,EUR,2023-01-17,385.395703,MRO
MUR,EUR,2023-01-17,47.826405,MUR
MVR,EUR,2023-01-17,16.620149,MVR
MWK,EUR,2023-01-17,560.28114,MWK
MXN,EUR,2023-01-17,20.177677,MXN
MYR,EUR,2023-01-17,4.670635,MYR
MZN,EUR,2023-01-17,68.907361,MZN
NAD,EUR,2023-01-17,18.438243,NAD
NGN,EUR,2023-01-17,489.658221,NGN
NIO,EUR,2023-01-17,39.251959,NIO
NOK,EUR,2023-01-17,10.662155,NOK
NPR,EUR,2023-01-17,141.34587,NPR
NZD,EUR,2023-01-17,1.680855,NZD
OMR,EUR,2023-01-17,0.415089,OMR
PAB,EUR,2023-01-17,1.080483,PAB
PEN,EUR,2023-01-17,4.131943,PEN
PGK,EUR,2023-01-17,3.805409,PGK
PHP,EUR,2023-01-17,58.9931,PHP
PKR,EUR,2023-01-17,246.917805,PKR
PLN,EUR,2023-01-17,4.6974,PLN
PYG,EUR,2023-01-17,7985.456142,PYG
QAR,EUR,2023-01-17,3.9305909999999997,QAR
RON,EUR,2023-01-17,4.932202,RON
RSD,EUR,2023-01-17,117.349772,RSD
RUB,EUR,2023-01-17,74.364136,RUB
RWF,EUR,2023-01-17,1159.426287,RWF
SAR,EUR,2023-01-17,4.054508,SAR
SBD,EUR,2023-01-17,8.92243,SBD
SCR,EUR,2023-01-17,15.48722,SCR
SDG,EUR,2023-01-17,628.292336,SDG
SEK,EUR,2023-01-17,11.238533,SEK
SGD,EUR,2023-01-17,1.425835,SGD
SHP,EUR,2023-01-17,1.486959,SHP
SLE,EUR,2023-01-17,20.629643,SLE
SLL,EUR,2023-01-17,20673.196636,SLL
SOS,EUR,2023-01-17,614.797208,SOS
